Time elapsed:	26.5688
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	3
Iterations:	10000
Time elapsed:	53.4195
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	3
Iterations:	15000
Time elapsed:	79.1723
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	3
Iterations:	20000
Time elapsed:	107.441
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	4
Iterations:	5000
Time elapsed:	20.1294
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	4
Iterations:	10000
Time elapsed:	40.17
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	4
Iterations:	15000
Time elapsed:	60.206
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/ft70.1.sop
Metaheuristic:	0
Threads:	4
Iterations:	20000
Time elapsed:	80.5075
Initial Value:	46060
Best Value: 	44894

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	1
Iterations:	5000
Time elapsed:	195.834
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	1
Iterations:	10000
Time elapsed:	393.432
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	1
Iterations:	15000
Time elapsed:	590.839
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	1
Iterations:	20000
Time elapsed:	783.592
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	2
Iterations:	5000
Time elapsed:	100.927
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	2
Iterations:	10000
Time elapsed:	198.839
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	2
Iterations:	15000
Time elapsed:	300.992
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	2
Iterations:	20000
Time elapsed:	397.808
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	3
Iterations:	5000
Time elapsed:	68.4759
Initial Value:	2397
Best Value: 	2189

Filename:	./Data/prob.100.sop
Metaheuristic:	0
Threads:	3
Iterations:	10000
Time elapsed:	136.217
